topic,doc_ID,p,doc,Sub,Date
1,1,0.25,1002789,ProstateCancer,2023-01-01T06:55:08Z
2,1,0.5833333333333334,1002789,ProstateCancer,2023-01-01T06:55:08Z
3,1,0.08333333333333333,1002789,ProstateCancer,2023-01-01T06:55:08Z
4,1,0.08333333333333333,1002789,ProstateCancer,2023-01-01T06:55:08Z
5,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
6,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
7,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
8,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
9,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
1,2,0,100dg4z,ProstateCancer,2023-01-01T17:17:43Z
2,2,0.1111111111111111,100dg4z,ProstateCancer,2023-01-01T17:17:43Z
3,2,0.1111111111111111,100dg4z,ProstateCancer,2023-01-01T17:17:43Z
4,2,0,100dg4z,ProstateCancer,2023-01-01T17:17:43Z
5,2,0.5555555555555556,100dg4z,ProstateCancer,2023-01-01T17:17:43Z
6,2,0.1111111111111111,100dg4z,ProstateCancer,2023-01-01T17:17:43Z
7,2,0.1111111111111111,100dg4z,ProstateCancer,2023-01-01T17:17:43Z
8,2,0,100dg4z,ProstateCancer,2023-01-01T17:17:43Z
9,2,0,100dg4z,ProstateCancer,2023-01-01T17:17:43Z
1,3,0.05,100dq6c,ProstateCancer,2023-01-01T17:36:44Z
2,3,0,100dq6c,ProstateCancer,2023-01-01T17:36:44Z
3,3,0.225,100dq6c,ProstateCancer,2023-01-01T17:36:44Z
4,3,0.125,100dq6c,ProstateCancer,2023-01-01T17:36:44Z
5,3,0.25,100dq6c,ProstateCancer,2023-01-01T17:36:44Z
6,3,0.025,100dq6c,ProstateCancer,2023-01-01T17:36:44Z
7,3,0.025,100dq6c,ProstateCancer,2023-01-01T17:36:44Z
8,3,0.125,100dq6c,ProstateCancer,2023-01-01T17:36:44Z
9,3,0.175,100dq6c,ProstateCancer,2023-01-01T17:36:44Z
1,4,0.1388888888888889,100nu2a,ProstateCancer,2023-01-02T04:01:30Z
2,4,0.02777777777777777,100nu2a,ProstateCancer,2023-01-02T04:01:30Z
3,4,0.2777777777777778,100nu2a,ProstateCancer,2023-01-02T04:01:30Z
4,4,0.1111111111111111,100nu2a,ProstateCancer,2023-01-02T04:01:30Z
5,4,0.02777777777777777,100nu2a,ProstateCancer,2023-01-02T04:01:30Z
6,4,0.02777777777777777,100nu2a,ProstateCancer,2023-01-02T04:01:30Z
7,4,0.3055555555555556,100nu2a,ProstateCancer,2023-01-02T04:01:30Z
8,4,0.05555555555555555,100nu2a,ProstateCancer,2023-01-02T04:01:30Z
9,4,0.02777777777777777,100nu2a,ProstateCancer,2023-01-02T04:01:30Z
1,5,0.2916666666666667,100u9uw,ProstateCancer,2023-01-02T08:40:38Z
2,5,0,100u9uw,ProstateCancer,2023-01-02T08:40:38Z
3,5,0.125,100u9uw,ProstateCancer,2023-01-02T08:40:38Z
4,5,0.5833333333333334,100u9uw,ProstateCancer,2023-01-02T08:40:38Z
5,5,0,100u9uw,ProstateCancer,2023-01-02T08:40:38Z
6,5,0,100u9uw,ProstateCancer,2023-01-02T08:40:38Z
7,5,0,100u9uw,ProstateCancer,2023-01-02T08:40:38Z
8,5,0,100u9uw,ProstateCancer,2023-01-02T08:40:38Z
9,5,0,100u9uw,ProstateCancer,2023-01-02T08:40:38Z
1,6,0.16044776119402984,1012gb0,ProstateCancer,2023-01-02T14:49:17Z
2,6,0.4925373134328358,1012gb0,ProstateCancer,2023-01-02T14:49:17Z
3,6,0.09328358208955224,1012gb0,ProstateCancer,2023-01-02T14:49:17Z
4,6,0.1828358208955224,1012gb0,ProstateCancer,2023-01-02T14:49:17Z
5,6,0.00373134328358208,1012gb0,ProstateCancer,2023-01-02T14:49:17Z
