topic,doc_ID,p,doc,Sub,Date
1,1,0.16666666666666666,1002789,ProstateCancer,2023-01-01T06:55:08Z
2,1,0.16666666666666666,1002789,ProstateCancer,2023-01-01T06:55:08Z
3,1,0.08333333333333333,1002789,ProstateCancer,2023-01-01T06:55:08Z
4,1,0.4166666666666667,1002789,ProstateCancer,2023-01-01T06:55:08Z
5,1,0.08333333333333333,1002789,ProstateCancer,2023-01-01T06:55:08Z
6,1,0.08333333333333333,1002789,ProstateCancer,2023-01-01T06:55:08Z
7,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
8,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
9,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
10,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
11,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
12,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
13,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
14,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
15,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
16,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
17,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
18,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
19,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
20,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
21,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
22,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
23,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
24,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
25,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
26,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
27,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
28,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
29,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
30,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
31,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
32,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
33,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
34,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
35,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
36,1,0,1002789,ProstateCancer,2023-01-01T06:55:08Z
1,2,0,100dg4z,ProstateCancer,2023-01-01T17:17:43Z
2,2,0.1111111111111111,100dg4z,ProstateCancer,2023-01-01T17:17:43Z
3,2,0,100dg4z,ProstateCancer,2023-01-01T17:17:43Z
4,2,0,100dg4z,ProstateCancer,2023-01-01T17:17:43Z
5,2,0,100dg4z,ProstateCancer,2023-01-01T17:17:43Z
6,2,0,100dg4z,ProstateCancer,2023-01-01T17:17:43Z
7,2,0.3333333333333333,100dg4z,ProstateCancer,2023-01-01T17:17:43Z
8,2,0.2222222222222222,100dg4z,ProstateCancer,2023-01-01T17:17:43Z
9,2,0.1111111111111111,100dg4z,ProstateCancer,2023-01-01T17:17:43Z
10,2,0.1111111111111111,100dg4z,ProstateCancer,2023-01-01T17:17:43Z
11,2,0.1111111111111111,100dg4z,ProstateCancer,2023-01-01T17:17:43Z
