topic,doc_ID,p,doc,Sub,Date
1,1,0.4166666666666667,1002789,ProstateCancer,2023-01-01T06:55:08Z
2,1,0.5833333333333334,1002789,ProstateCancer,2023-01-01T06:55:08Z
1,2,0.1111111111111111,100dg4z,ProstateCancer,2023-01-01T17:17:43Z
2,2,0.8888888888888888,100dg4z,ProstateCancer,2023-01-01T17:17:43Z
1,3,0.4,100dq6c,ProstateCancer,2023-01-01T17:36:44Z
2,3,0.6,100dq6c,ProstateCancer,2023-01-01T17:36:44Z
1,4,0.5277777777777778,100nu2a,ProstateCancer,2023-01-02T04:01:30Z
2,4,0.4722222222222222,100nu2a,ProstateCancer,2023-01-02T04:01:30Z
1,5,1,100u9uw,ProstateCancer,2023-01-02T08:40:38Z
2,5,0,100u9uw,ProstateCancer,2023-01-02T08:40:38Z
1,6,0.43656716417910446,1012gb0,ProstateCancer,2023-01-02T14:49:17Z
2,6,0.5634328358208955,1012gb0,ProstateCancer,2023-01-02T14:49:17Z
1,7,0.4615384615384616,10153cj,ProstateCancer,2023-01-02T17:06:54Z
2,7,0.5384615384615384,10153cj,ProstateCancer,2023-01-02T17:06:54Z
1,8,0.42857142857142855,101n3dt,ProstateCancer,2023-01-03T07:42:52Z
2,8,0.5714285714285714,101n3dt,ProstateCancer,2023-01-03T07:42:52Z
1,9,0.7804878048780488,101nrwr,ProstateCancer,2023-01-03T08:09:12Z
2,9,0.2195121951219512,101nrwr,ProstateCancer,2023-01-03T08:09:12Z
1,10,0.6923076923076923,101q29r,ProstateCancer,2023-01-03T09:38:11Z
2,10,0.3076923076923077,101q29r,ProstateCancer,2023-01-03T09:38:11Z
1,11,0.8571428571428571,101r5v5,ProstateCancer,2023-01-03T10:21:54Z
2,11,0.14285714285714285,101r5v5,ProstateCancer,2023-01-03T10:21:54Z
1,12,0.4390243902439024,102e0km,ProstateCancer,2023-01-04T04:34:26Z
2,12,0.5609756097560976,102e0km,ProstateCancer,2023-01-04T04:34:26Z
1,13,0.8181818181818182,102f95n,ProstateCancer,2023-01-04T05:21:55Z
2,13,0.18181818181818185,102f95n,ProstateCancer,2023-01-04T05:21:55Z
1,14,0.5222222222222223,1034uti,ProstateCancer,2023-01-05T01:23:02Z
2,14,0.4777777777777778,1034uti,ProstateCancer,2023-01-05T01:23:02Z
1,15,1,1035bm6,ProstateCancer,2023-01-05T01:44:39Z
2,15,0,1035bm6,ProstateCancer,2023-01-05T01:44:39Z
1,16,0.8421052631578947,103kmxe,ProstateCancer,2023-01-05T11:47:21Z
2,16,0.15789473684210523,103kmxe,ProstateCancer,2023-01-05T11:47:21Z
1,17,0.29411764705882354,103ngli,ProstateCancer,2023-01-05T13:53:10Z
2,17,0.7058823529411765,103ngli,ProstateCancer,2023-01-05T13:53:10Z
1,18,0.7105263157894737,103obbs,ProstateCancer,2023-01-05T14:32:29Z
2,18,0.2894736842105263,103obbs,ProstateCancer,2023-01-05T14:32:29Z
1,19,0.4615384615384616,103xvlf,ProstateCancer,2023-01-05T23:34:17Z
2,19,0.5384615384615384,103xvlf,ProstateCancer,2023-01-05T23:34:17Z
1,20,0.8,1049td1,ProstateCancer,2023-01-06T07:52:42Z
2,20,0.2,1049td1,ProstateCancer,2023-01-06T07:52:42Z
1,21,0.8888888888888888,104cujt,ProstateCancer,2023-01-06T09:48:17Z
2,21,0.1111111111111111,104cujt,ProstateCancer,2023-01-06T09:48:17Z
1,22,0.8666666666666667,104g1dm,ProstateCancer,2023-01-06T11:58:06Z
2,22,0.13333333333333333,104g1dm,ProstateCancer,2023-01-06T11:58:06Z
1,23,0.3333333333333333,104u7x2,ProstateCancer,2023-01-07T00:29:07Z
2,23,0.6666666666666666,104u7x2,ProstateCancer,2023-01-07T00:29:07Z
1,24,0.4857142857142857,1053ef3,ProstateCancer,2023-01-07T06:42:48Z
2,24,0.5142857142857142,1053ef3,ProstateCancer,2023-01-07T06:42:48Z
1,25,0.4,1056j6l,ProstateCancer,2023-01-07T08:45:56Z
2,25,0.6,1056j6l,ProstateCancer,2023-01-07T08:45:56Z
1,26,0.8484848484848485,105d0q0,ProstateCancer,2023-01-07T13:16:38Z
2,26,0.15151515151515152,105d0q0,ProstateCancer,2023-01-07T13:16:38Z
1,27,0.4642857142857143,105egc6,ProstateCancer,2023-01-07T14:25:22Z
2,27,0.5357142857142857,105egc6,ProstateCancer,2023-01-07T14:25:22Z
1,28,0.6,105emh6,ProstateCancer,2023-01-07T14:33:51Z
2,28,0.4,105emh6,ProstateCancer,2023-01-07T14:33:51Z
1,29,0.5232558139534884,105lp13,ProstateCancer,2023-01-07T21:13:08Z
2,29,0.4767441860465117,105lp13,ProstateCancer,2023-01-07T21:13:08Z
1,30,0.868421052631579,105tpex,ProstateCancer,2023-01-08T03:57:38Z
2,30,0.13157894736842105,105tpex,ProstateCancer,2023-01-08T03:57:38Z
1,31,0.6875,105wywd,ProstateCancer,2023-01-08T06:12:59Z
2,31,0.3125,105wywd,ProstateCancer,2023-01-08T06:12:59Z
1,32,0.4375,1060f1g,ProstateCancer,2023-01-08T08:36:54Z
2,32,0.5625,1060f1g,ProstateCancer,2023-01-08T08:36:54Z
1,33,0.39590443686006827,10631hw,ProstateCancer,2023-01-08T10:25:47Z
2,33,0.6040955631399317,10631hw,ProstateCancer,2023-01-08T10:25:47Z
1,34,0.5116279069767442,106kc6o,ProstateCancer,2023-01-09T01:19:52Z
2,34,0.4883720930232558,106kc6o,ProstateCancer,2023-01-09T01:19:52Z
1,35,0.5384615384615384,106u8uq,ProstateCancer,2023-01-09T08:04:43Z
2,35,0.4615384615384616,106u8uq,ProstateCancer,2023-01-09T08:04:43Z
1,36,0.8958333333333334,10754w7,ProstateCancer,2023-01-09T15:55:07Z
2,36,0.10416666666666669,10754w7,ProstateCancer,2023-01-09T15:55:07Z
1,37,0.3508771929824561,107kp5d,ProstateCancer,2023-01-10T04:45:53Z
2,37,0.6491228070175439,107kp5d,ProstateCancer,2023-01-10T04:45:53Z
1,38,0.17647058823529413,107mwbk,ProstateCancer,2023-01-10T06:08:53Z
2,38,0.8235294117647058,107mwbk,ProstateCancer,2023-01-10T06:08:53Z
1,39,0.6382978723404256,107rnir,ProstateCancer,2023-01-10T09:06:21Z
2,39,0.3617021276595745,107rnir,ProstateCancer,2023-01-10T09:06:21Z
1,40,0.7096774193548387,107sn3q,ProstateCancer,2023-01-10T09:43:15Z
2,40,0.2903225806451613,107sn3q,ProstateCancer,2023-01-10T09:43:15Z
1,41,0.6909090909090909,107vqfr,ProstateCancer,2023-01-10T11:50:07Z
2,41,0.3090909090909091,107vqfr,ProstateCancer,2023-01-10T11:50:07Z
1,42,0.8333333333333334,107wzgc,ProstateCancer,2023-01-10T12:45:13Z
2,42,0.16666666666666666,107wzgc,ProstateCancer,2023-01-10T12:45:13Z
1,43,0.6,108af0w,ProstateCancer,2023-01-11T00:56:02Z
2,43,0.4,108af0w,ProstateCancer,2023-01-11T00:56:02Z
1,44,0.6764705882352942,108b72d,ProstateCancer,2023-01-11T01:30:29Z
2,44,0.3235294117647059,108b72d,ProstateCancer,2023-01-11T01:30:29Z
1,45,0.6666666666666666,108db7x,ProstateCancer,2023-01-11T03:00:51Z
2,45,0.3333333333333333,108db7x,ProstateCancer,2023-01-11T03:00:51Z
1,46,0.7441860465116279,108z75m,ProstateCancer,2023-01-11T18:55:32Z
2,46,0.2558139534883721,108z75m,ProstateCancer,2023-01-11T18:55:32Z
1,47,0.6785714285714286,10984tk,ProstateCancer,2023-01-12T02:58:27Z
2,47,0.32142857142857145,10984tk,ProstateCancer,2023-01-12T02:58:27Z
1,48,0.7428571428571429,1098bgf,ProstateCancer,2023-01-12T03:05:46Z
2,48,0.2571428571428571,1098bgf,ProstateCancer,2023-01-12T03:05:46Z
1,49,0.8181818181818182,1099jqs,ProstateCancer,2023-01-12T03:56:33Z
2,49,0.18181818181818185,1099jqs,ProstateCancer,2023-01-12T03:56:33Z
1,50,0.5185185185185185,109c41f,ProstateCancer,2023-01-12T05:35:03Z
2,50,0.48148148148148145,109c41f,ProstateCancer,2023-01-12T05:35:03Z
1,51,0.7741935483870968,109gh42,ProstateCancer,2023-01-12T08:25:46Z
2,51,0.2258064516129032,109gh42,ProstateCancer,2023-01-12T08:25:46Z
1,52,0.7037037037037037,109misk,ProstateCancer,2023-01-12T12:36:33Z
2,52,0.2962962962962963,109misk,ProstateCancer,2023-01-12T12:36:33Z
1,53,0.8055555555555556,109nzzm,ProstateCancer,2023-01-12T13:42:19Z
2,53,0.19444444444444445,109nzzm,ProstateCancer,2023-01-12T13:42:19Z
1,54,0.5343511450381679,10a0xh1,ProstateCancer,2023-01-13T01:27:28Z
2,54,0.46564885496183206,10a0xh1,ProstateCancer,2023-01-13T01:27:28Z
1,55,0.5238095238095238,10a27qm,ProstateCancer,2023-01-13T02:23:48Z
2,55,0.47619047619047616,10a27qm,ProstateCancer,2023-01-13T02:23:48Z
1,56,0.6470588235294118,10a4jss,ProstateCancer,2023-01-13T03:59:35Z
2,56,0.35294117647058826,10a4jss,ProstateCancer,2023-01-13T03:59:35Z
1,57,0.7368421052631579,10ar9fx,ProstateCancer,2023-01-13T21:29:33Z
2,57,0.2631578947368421,10ar9fx,ProstateCancer,2023-01-13T21:29:33Z
1,58,0.25,10ay7hv,ProstateCancer,2023-01-14T03:07:40Z
2,58,0.75,10ay7hv,ProstateCancer,2023-01-14T03:07:40Z
1,59,0.8297872340425532,10aya0h,ProstateCancer,2023-01-14T03:10:29Z
2,59,0.1702127659574468,10aya0h,ProstateCancer,2023-01-14T03:10:29Z
1,60,0.6086956521739131,10aywcr,ProstateCancer,2023-01-14T03:36:05Z
2,60,0.391304347826087,10aywcr,ProstateCancer,2023-01-14T03:36:05Z
1,61,0.8571428571428571,10b1tkt,ProstateCancer,2023-01-14T05:35:12Z
